Nº,Timestamp,SessionId,Etapa Actual,Input Usuario,Trigger Detectado,Respuesta del Bot,Siguiente Etapa,Acción Servidor,Duración (ms)
1,2025-11-23T22:29:33.724Z,srv-1763936973716-176c7dc40da6d238b60562637020c40086d27493e8ac1bf59d7e10ca96f59a9e,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,4
2,2025-11-23T22:29:34.250Z,srv-1763936974247-e3698a9122d079bc231ff8175d31ea2130308354320f5f41063c35b83d24287e,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
3,2025-11-23T22:29:34.768Z,srv-1763936974767-30eecb3844658dc85149c01891d375a008215cdd60476432e6b9c7095e7ae789,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,0
4,2025-11-23T22:29:35.294Z,srv-1763936975292-6eddfe69c0edf3e6acde66dbfe037ce198d198f6e7c4dbac30d566305412e211,ASK_LANGUAGE,mi compu no enciende,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
5,2025-11-23T22:29:35.817Z,srv-1763936975816-763ad8e1c7b5f49fcb1a152803052552a83fcd2018a3b0d1a171a9407db5558e,ASK_LANGUAGE,es una notebook HP Pavilion,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
6,2025-11-23T22:29:36.339Z,srv-1763936976338-496b65b38a808ef87f664a011df57a3f18f169a0d9626f281c38d4241c129bbd,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
7,2025-11-23T22:29:36.879Z,srv-1763936976878-547639a6e5e51583cc8b73175b1308aa3b6f0d3b92ca3c7e5496305938b05b25,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,0
8,2025-11-23T22:29:37.398Z,srv-1763936977396-a5ff0ced20ce631999bdb96ad92cb717e21d1455b9f22557d113d8c25131e555,ASK_LANGUAGE,Roberto,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
9,2025-11-23T22:29:37.922Z,srv-1763936977921-26f26baab8731736837aeae613a75764824c5e30eba9d781e0137c30c323e1b5,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
10,2025-11-23T22:29:38.447Z,srv-1763936978445-0e723b67e15eac908140d1374630635822b08da5b30bf051ca89177501cb6f29,ASK_LANGUAGE,necesito ayuda para instalar una app en mi stick tv,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
11,2025-11-23T22:29:38.967Z,srv-1763936978965-7f73bc0e930641f59e68333616d745b3efa223a49fe46be993cf7faa7ffc57e7,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
12,2025-11-23T22:29:39.508Z,srv-1763936979507-6463042d951e3e3593f09c15c49e916effef41ff4b8fe40b031f22240e5f8807,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
13,2025-11-23T22:29:40.036Z,srv-1763936980034-2dea7d9188025273b203481c4c1a2a32448e3b3e8ceea65c4143bf8c664b43ca,ASK_LANGUAGE,Heber,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
14,2025-11-23T22:29:40.560Z,srv-1763936980559-08099bc9fd47a254ac68c0d2d383e788b28d27923a0a52976e7a765cccb4e87f,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
15,2025-11-23T22:29:41.086Z,srv-1763936981085-236efe07854b06e1c3a9bc190aaecfe23348afbec7b06336954df5b9fa881a49,ASK_LANGUAGE,asistencia para configurar una conexión wan en un microtik,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
16,2025-11-23T22:29:41.603Z,srv-1763936981601-862e792f913919de62616e4b27b88632266e19775bf4e00a1dadd0c79bdb56ba,ASK_LANGUAGE,MikroTik RB750Gr3,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
17,2025-11-23T22:29:42.130Z,srv-1763936982129-7057be97fa962aea21a2783373d7cacdf954aad61336c8e07dfe539c546d07bb,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
18,2025-11-23T22:29:42.657Z,srv-1763936982656-705a859c74ad36918f6a759b049f64f534a68f0a38a34a9dd0bddaac3e676d83,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
19,2025-11-23T22:29:43.202Z,srv-1763936983201-ae72680c47a33c09c7270df79864e8aa7dfd80d899eec9900610c06e19e807dd,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
20,2025-11-23T22:29:43.727Z,srv-1763936983725-290d413a090351f03179afdd92ef8187414058d2400da63c25bba4a084c6c9fa,ASK_LANGUAGE,Valeria,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,2
21,2025-11-23T22:29:44.250Z,srv-1763936984249-78674c19f81ad9348c2c5284823cbdb7a12e6e494df6f64c6184acdc626e8f57,ASK_LANGUAGE,,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
22,2025-11-23T22:29:44.763Z,srv-1763936984762-c3c8b6d152b0c87ef414a02aeac9bced0411861e2ee6ad408efd76f20d372043,ASK_LANGUAGE,tu notebook no enciende,invalid_language,"⚠️ No entendí el idioma. Por favor, elegí una opción: ⚠️ I didn't understand the language. Please choose an option:",ASK_LANGUAGE,retry_language,1
